ID,Price
0,1399.99
2,2995.0
3,1049.0
4,929.35
5,199.0
6,2999.99
7,3950.0
8,900.0
9,900.0
10,469.85
11,585.0
12,1099.99
13,1199.0
14,910.0
15,1400.0
16,1795.0
17,249.0
18,6250.0
19,1295.0
20,1500.0
21,2000.0
22,2200.0
23,1799.95
24,1929.99
25,3400.0
26,6195.0
27,749.85
28,1249.0
29,2400.0
30,699.35
31,999.99
32,2500.0
33,1200.0
34,640.0
35,1200.0
36,2200.0
37,1300.0
38,595.0
39,1285.0
40,2600.0
41,2000.0
42,2399.99
43,1599.85
44,1995.0
45,1929.99
46,1900.0
47,1200.0
48,1000.0
49,1199.99
50,2500.0
51,4595.43
52,1199.99
53,3299.98
54,2500.0
55,2299.99
56,1599.85
58,1795.0
59,999.0
60,3395.0
61,799.95
62,1688.88
63,2899.0
64,621.0
65,3750.0
66,1099.99
67,1189.0
68,1099.0
69,2399.98
70,1399.0
71,1474.95
72,2500.0
73,649.97
74,2500.0
75,1662.32
76,2399.85
77,1650.0
78,2200.0
79,1080.0
80,1495.0
81,1700.0
82,3000.0
83,3400.0
84,960.0
85,1129.35
86,3999.95
87,2200.0
88,2000.0
89,2450.0
90,1850.0
91,1500.0
92,2249.35
93,9500.0
94,1149.35
95,2799.0
96,3161.0
97,1399.99
98,1599.0
99,3500.0
101,4350.0
102,699.85
103,3150.0
104,2125.0
105,2800.0
106,5500.0
108,1203.95
109,2750.0
110,2499.99
111,1599.85
112,1500.0
113,749.0
114,3000.0
115,2374.74
116,1192.0
117,1599.99
118,415.0
119,2000.0
120,4499.0
121,3899.95
122,2250.0
123,750.0
124,4450.0
125,560.0
126,8000.0
127,975.0
128,2960.99
129,2099.0
130,2500.0
131,2590.0
132,1700.99
133,4400.0
134,1119.95
135,2199.99
136,650.0
137,1900.0
138,1449.0
139,1650.0
140,1399.99
141,800.0
142,1295.0
143,2799.99
144,3200.0
145,600.0
146,889.0
147,6300.0
148,3800.0
149,2850.0
150,1500.0
151,2200.0
152,975.0
153,700.0
154,4200.0
155,1525.0
156,496.0
157,2400.0
158,2200.0
159,2374.74
160,1199.0
161,4750.0
162,649.85
163,2500.0
164,3600.0
165,1600.0
166,6400.0
167,6000.0
168,3249.0
169,2599.0
170,900.0
171,2999.0
172,899.35
173,4499.0
174,5300.0
175,3599.99
176,300.0
177,3600.0
178,3999.85
179,3499.0
180,3249.95
181,3500.0
182,1794.95
183,4000.0
184,1850.0
185,1720.0
186,2499.99
187,4500.0
188,3000.0
189,966.66
190,5800.0
191,1799.99
192,1095.0
193,1399.99
194,1850.0
195,1650.0
196,2474.99
197,4900.0
199,1988.0
200,749.95
201,2650.0
202,1099.0
203,2295.0
204,3200.0
205,1399.0
206,1749.99
207,1600.0
208,883.0
209,6999.99
